"","title","author_firstname","author_lastname"
"80","Don Karlos: Infant von Spanien","Friedrich","Schiller"
"81","Effi Briest","Theodor","Fontane"
"82","Ein Volksfeind","Henrik","Ibsen"
"83","Ein Wort","Gottfried","Benn"
"84","Ein apokalyptisches Fragment","Karoline","Günderrode"
"85","Einer","Norbert","Gstrein"
"86","Emigranten-Monolog","Mascha","Kaléko"
"87","Emilia Galotti","Gotthold Ephraim","Lessing"
"88","Entdeckung an einer jungen Frau","Bertolt","Brecht"
"89","Erstes Leid","Franz","Kafka"
"90","Fabian. Die Geschichte eines Moralisten","Erich","Kästner"
"91","Faserland","Christian","Kracht"
"92","Faust I","Johann Wolfgang","Goethe"
"93","Faust II","Johann Wolfgang","Goethe"
"94","Franziska Linkerhand","Brigitte","Reimann"
"95","Frau Jenny Treibel","Theodor","Fontane"
"96","Früh im Wagen","Eduard","Mörike"
"97","Furor. Theater der Gegenwart","Lutz/Sarah","Hübner/Nemitz"
"98","Gehen, ging, gegangen","Jenny","Erpenbeck"
"99","Geschichten aus dem Wiener Wald. Volksstück in drei Teilen","Ödön","Horváth"
"100","Halbschatten","Uwe","Timm"
"101","Hamlet","William","Shakespeare"
"102","Heeresbericht","Edlef","Köppen"
"103","Heimsuchung","Jenny","Erpenbeck"
"104","Heldenplatz","Thomas","Bernhard"
"105","Herkunft","Saša","Stanišic"
"106","Herr Lehmann","Sven","Regener"
"107","Hikikomori","Kevin","Kuhn"
"108","Hiob","Joseph","Roth"
"109","Homo faber","Max","Frisch"
"110","Hälfte des Lebens","Friedrich","Hölderlin"
"111","Ich fürchte mich so vor der Menschen Wort","Rainer Maria","Rilke"
"112","Im Krebsgang","Günter","Grass"
"113","Im Kreise gelausen","Peter","Weiss"
"114","Im Westen Nichts Neues","Erich Maria","Remarque"
"115","In Stahlgewitter","Ernst","Jünger"
"116","In der Strafkolonie","Franz","Kafka"
"117","In seiner frühen Kindheit ein Garten","Christoph","Hein"
"118","Ingrid Babendererde. Reifeprüfung 1953","Uwe","Johnson"
"119","Iphigenie auf Tauris","Johann Wolfgang","Goethe"
"120","Irrungen, Wirrungen","Theodor","Fontane"
"121","Italienische Reise","Johann Wolfgang","Goethe"
"122","Jakob der Lügner","Jurek","Becker"
"123","Kabale und Liebe","Friedrich","Schiller"
"124","Kaspar Hauser Lied","Georg","Trakl"
"125","Katz und Maus","Günter","Grass"
"126","Klein Zaches genannt Zinnober","E.T.A.","Hoffmann"
"127","Kleiner Mann - was nun?","Hans","Fallada"
"128","König Ödipus","nan","Sophokles"
"129","Landnahme","Christoph","Hein"
"130","Lass rauschen, Lieb, lass rauschen","Achim","Arnim"
"131","Leben des Galilei","Bertolt","Brecht"
"132","Lenz","Georg","Büchner"
"133","Lenz","Peter","Schneider"
"134","Leonce und Lena","Georg","Büchner"
"135","Linguistik","Hilde","Domin"
"136","Lob des Lernens","Bertolt","Brecht"
"137","Lob des Zweifels","Bertolt","Brecht"
"138","Maifest","Johann Wolfgang","Goethe"
"139","Man frage nicht","Karl","Kraus"
"140","Maria Magdalena","Friedrich","Hebbel"
"141","Maria Stuart","Friedrich","Schiller"
"142","Mario und der Zauberer","Thomas","Mann"
"143","Masse-Mensch","Ernst","Toller"
"144","Mathilde Möhring","Theodor","Fontane"
"145","Medea","nan","Euripides"
"146","Medea. Stimmen","Christa","Wolf"
"147","Mein blaues Klavier","Else","Lasker-Schüler"
"148","Meine Emancipation","Louise","Aston"
"149","Mephisto","Klaus","Mann"
"150","Michael Kohlhaas","Heinrich","Kleist"
"151","Miss Sara Sampson","Gotthold Ephraim","Lessing"
"152","Mondnacht","Joseph","Eichendorff"
"153","Mutterliebe","Heinrich","Kleist"
"154","Nach Mitternacht","Irmgard","Keun"
"155","Nachtcafé","Gottfried","Benn"
"156","Nachts ist es leise in Teheran","Shida","Bazyar"
"157","Nathan der Weise","Gotthold Ephraim","Lessing"
"158","Penthesilea","Heinrich","Kleist"
"159","Peter Schlemihls wundersame Geschichte","Adelbert","Chamisso"
"160","Prinz Friedrich von Homburg","Heinrich","Kleist"
"161","Professor Unrat","Heinrich","Mann"
"162","Prometheus","Johann Wolfgang","Goethe"
"163","Räuberbande","Finn-Ole","Heinrich"
"164","Römische Elegien","Johann Wolfgang","Goethe"
"165","Schachnovelle","Stefan","Zweig"
"166","Schlechte Zeiten für Lyrik","Bertolt","Brecht"
"167","Seeschlacht","Reinhard","Goering"
"168","Sommerhaus, später","Judith","Hermann"
"169","Sprachgitter","Paul","Celan"
"170","Tauben fliegen auf","Melinda Nadj","Abonji"
"171","Tauben im Gras","Wolfgang","Koeppen"
"172","Terror","Ferdinand","Schirach"
"173","Tod in Venedig","Thomas","Mann"
"174","Tonio Kröger","Thomas","Mann"
"175","Top Dogs","Urs","Widmer"
"176","Transit","Anna","Seghers"
"177","Under der linden","Walther","von der Vogelweide"
"178","Undine","Friedrich","de la Motte Fouqué"
"179","Unter der Drachenwand","Arno","Geiger"
"180","Verbrechen","Ferdinand","Schirach"
"181","Von deutscher Baukunst","Johann Wolfgang","Goethe"
"182","Von morgens bis mitternachts","Georg","Kaiser"
"183","Vor Sonnenaufgang","Gerhart","Hauptmann"
"184","Vor dem Fest","Saša","Stanišic"
"185","Weh dem, der aus der Reihe tanzt","Ludwig","Harig"
"186","Willkommen und Abschied","Johann Wolfgang","Goethe"
"187","Woyzeck","Georg","Büchner"
"188","Wünschelrute","Joseph","Eichendorff"
"189","Zehn","Franka","Potente"
"190","Ziehende Landschaft","Hilde","Domin"
"191","Über das Marionettentheater","Heinrich","Kleist"
"192","Über die Bezeichnung Emigranten","Bertolt","Brecht"
"193","Über die ästetische Erziehung der Menschen in einer Reihe von Briefen","Friedrich","Schiller"
"194","…liner Roma…","Joachim","Ringelnatz"
